Actual,Predicted
198,-139688270088.44922
210,194.8359375
159,-139688270086.8125
206,238.34765625
216,169.5703125
205,-139688270088.83984
173,176.2421875
141,164.45703125
247,241.87109375
194,229.4140625
231,171.74609375
170,211.1640625
137,166.26953125
141,191.27734375
158,-139688270083.5625
199,-139688270085.0
191,167.55078125
172,-139688270089.78125
145,182.8671875
183,215.26171875
150,182.51171875
175,180.93359375
208,243.015625
159,-139688270083.73438
201,202.51171875
200,185.12109375
201,180.98046875
200,201.66015625
218,181.13671875
157,145.19921875
199,204.15625
248,203.80859375
201,192.0859375
182,-139688270083.29688
